Country;IDCountry;populationGroup;IDpopulationGroup;Category1;IDCategory1;Category2;IDCategory2;Category3;IDCategory3;avg_GramsPerDay;CategoryLevel
Portugal;180;Infants;1;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;5,588;3
Finland;70;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;5,604;3
Finland;70;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;5,878;3
Germany;56;Elderly;12;Alcoholic_beverages;10489503;Alcoholic beverages;10489503;NULL;NULL;6,079;2
Germany;56;Elderly;12;Alcoholic_beverages;10489503;Alcoholic beverages;10489503;Alcoholic beverages;10489503;6,079;3
Austria;14;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;6,504;2
Austria;14;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;6,504;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;6,558;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;6,571;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;6,651;3
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;6,888;3
Portugal;180;Infants;1;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;7,379;3
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Alcoholic beverages;10489503;NULL;NULL;7,412;2
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Alcoholic beverages;10489503;Alcoholic beverages;10489503;7,412;3
Czech Republic;55;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;7,832;2
Czech Republic;55;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;7,832;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;7,992;2
United Kingdom;77;Infants;1;Alcoholic_beverages;10489503;Beer;10489514;NULL;NULL;8;2
United Kingdom;77;Infants;1;Alcoholic_beverages;10489503;Beer;10489514;Beer;10489515;8;3
Portugal;180;Infants;1;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;8;1
Portugal;180;Infants;1;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;8;2
Austria;14;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;8,095;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;8,295;3
Denmark;58;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;8,305;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;8,35;3
Latvia;132;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;8,533;1
Latvia;132;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;8,533;2
Latvia;132;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;8,533;3
Denmark;58;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;8,571;3
Sweden;193;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;8,643;3
Austria;14;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;8,814;1
Germany;56;Adults;10;Alcoholic_beverages;10489503;Alcoholic beverages;10489503;NULL;NULL;8,815;2
Germany;56;Adults;10;Alcoholic_beverages;10489503;Alcoholic beverages;10489503;Alcoholic beverages;10489503;8,815;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;8,908;3
Netherlands;162;Adolescents;7;Alcoholic beverages;10489503;Wine;10489530;Dessert_wines;10489551;9,022;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;9,039;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;9,631;2
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;9,643;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;9,714;2
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;9,892;3
Latvia;132;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;10;2
Latvia;132;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;10;3
Latvia;132;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;10;3
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;10,137;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;10,361;1
Denmark;58;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;10,728;3
Italy;108;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;11,016;2
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;11,849;3
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;11,905;3
Sweden;193;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;12;3
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;12,053;2
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;12,053;3
France;75;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;12,1;3
France;75;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;12,13;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;12,173;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;12,191;2
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;12,31;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;12,325;3
Austria;14;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;12,5;3
Ireland;101;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;12,5;3
France;75;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;12,708;2
Romania;185;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;12,857;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;12,998;2
Romania;185;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;13,265;2
Romania;185;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;13,265;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;13,402;3
Denmark;58;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;13,415;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;13,556;2
Denmark;58;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;13,603;3
Italy;108;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;13,784;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;13,834;3
Denmark;58;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;13,87;3
Finland;70;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;14,118;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;14,277;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;14,337;2
Spain;67;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;14,365;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;14,384;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;14,4;3
Denmark;58;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;14,504;2
Denmark;58;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;14,504;3
Denmark;58;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;14,819;2
Netherlands;162;Adults;10;Alcoholic beverages;10489503;Wine;10489530;Dessert_wines;10489551;14,824;3
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;15,269;3
Sweden;193;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;15,313;3
Denmark;58;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;15,612;2
Denmark;58;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;15,612;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;15,767;3
Sweden;193;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;15,837;3
Sweden;193;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;16,126;2
United Kingdom;77;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;16,158;3
Portugal;180;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;16,292;3
Italy;108;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;16,58;2
Italy;108;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;16,965;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;17,215;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;17,523;2
Denmark;58;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;17,742;2
France;75;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;17,832;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;18,445;2
Portugal;180;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;18,488;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;18,777;3
Ireland;101;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;19,168;3
Portugal;180;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;19,528;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;19,815;3
Germany;56;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;19,818;3
Estonia;63;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;20;2
Estonia;63;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;20;3
France;75;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;20,04;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;20,379;2
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;20,445;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;20,778;2
France;75;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Other_mixed_alcoholic_drinks;10489592;20,833;3
Italy;108;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;20,835;3
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;20,894;3
Germany;56;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;21,092;3
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;21,436;2
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;21,514;3
Estonia;63;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;21,667;3
Portugal;180;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;21,727;2
United Kingdom;77;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;21,75;3
Germany;56;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;21,82;2
Spain;67;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;22;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;22,245;2
Portugal;180;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;22,537;3
Ireland;101;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;22,592;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;22,663;3
Spain;67;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;22,917;3
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;23,049;2
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;23,108;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;NULL;NULL;23,21;2
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;23,294;2
Hungary;99;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;23,333;3
Spain;67;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;23,5;3
Germany;56;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;23,679;3
Croatia;97;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;23,708;3
Spain;67;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;23,923;3
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;23,931;2
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;23,942;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;23,946;2
France;75;Elderly;12;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;23,96;3
Sweden;193;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;24,031;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;24,407;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;24,889;2
Denmark;58;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;24,993;3
Finland;70;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;25,25;3
Bulgaria;24;Infants;1;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;25,583;1
Bulgaria;24;Infants;1;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;25,583;2
Bulgaria;24;Infants;1;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;25,583;3
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;25,944;3
Hungary;99;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;26,022;2
Ireland;101;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;26,438;2
Portugal;180;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;26,497;3
Hungary;99;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;26,694;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;26,745;3
Spain;67;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;26,781;2
Croatia;97;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;26,936;2
Ireland;101;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;27,171;3
Portugal;180;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;27,258;3
United Kingdom;77;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine;10489531;27,476;3
Latvia;132;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;28,333;3
Germany;56;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;28,918;1
Finland;70;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;NULL;NULL;29,065;2
Romania;185;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;29,577;2
Romania;185;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;29,794;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Wine-like drinks;10489548;29,907;3
Latvia;132;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;30;3
Spain;67;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;30,097;3
United Kingdom;77;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;30,295;2
United Kingdom;77;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;30,5;3
Croatia;97;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;30,526;3
France;75;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;30,737;3
Spain;67;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;30,833;3
Finland;70;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;31,417;2
Netherlands;162;Adolescents;7;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;31,532;3
Finland;70;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;32,392;3
Finland;70;Elderly;12;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;32,485;3
Finland;70;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;32,488;3
Portugal;180;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;32,596;3
Finland;70;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;32,659;1
Czech Republic;55;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;32,681;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;32,857;3
France;75;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;32,86;1
Portugal;180;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;32,974;2
Germany;56;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;32,989;2
Estonia;63;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;33,333;3
Austria;14;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;33,929;2
United Kingdom;77;Adolescents;7;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Spirit Drinks and Liqueurs;10489581;34,204;3
France;75;Adults;10;Alcoholic_beverages;10489503;Mixed alcoholic drinks;10489589;Cocktails;10489590;34,854;3
France;75;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;34,933;2
France;75;Adolescents;7;Alcoholic_beverages;10489503;NULL;NULL;NULL;NULL;35,184;1
Estonia;63;Adults;10;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;35,526;3
United Kingdom;77;Adults;10;Alcoholic_beverages;10489503;Wine;10489530;Dessert_wines;10489551;35,575;3
Romania;185;Adults;10;Alcoholic_beverages;10489503;Beer;10489514;Beer-like beverages;10489526;35,714;3
Netherlands;162;Elderly;12;Alcoholic beverages;10489503;Spirit Drinks and Liqueurs;10490639;Liqueurs;10489562;35,945;3
Hungary;99;Elderly;12;Alcoholic_beverages;10489503;Spirit Drinks and Liqueurs;10490639;NULL;NULL;36;2
